"Episode","Step","Action","Observation","Fully Observed State","State","Step Reward","Total Reward","Q-values"
"0","18","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","0.0","-4.32",""
"0","19","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y-1z-1'}","0.0","-4.32",""
"0","20","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","0.0","-4.32",""
"0","21","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","0.0","-4.32",""
"0","22","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh1', 'depth_0': 'd3', 'orient_0': 'x1y0z-1'}","-1.44","-5.76",""
"0","23","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y0z-1'}","{'coord_0': 'Srv5rh2', 'depth_0': 'd2', 'orient_0': 'x1y0z-1'}","0.0","-5.76",""
"0","24","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv5rh2', 'depth_0': 'd2', 'orient_0': 'x1y-1z-1'}","-1.73","-7.49",""
"0","25","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv4rh3', 'depth_0': 'd1', 'orient_0': 'x1y-1z-1'}","0.0","-7.49",""
"0","26","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv4rh3', 'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","0.0","-7.49",""
"0","27","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv4rh3', 'depth_0': 'd1', 'orient_0': 'x-1y-1z-1'}","0.0","-7.49",""
"0","28","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv4rh3', 'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","0.0","-7.49",""
"0","29","Forward","{'obs_sensor': 'Orv3rh3'}","{'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv4rh3', 'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","-1.44","-8.93",""
"0","30","Stay","{'obs_sensor': 'Orv3rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv3rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-58.93",""
"0","31","Left","{'obs_sensor': 'Orv2rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv3rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-108.93",""
"0","32","Right","{'obs_sensor': 'Orv2rh3'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv2rh3', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-158.93",""
"0","33","Forward","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv2rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-208.93",""
"0","34","Stay","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-258.93",""
"0","35","Up","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-308.93",""
"0","36","Stay","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-358.93",""
"0","37","Left","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-408.93",""
"0","38","Stay","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-458.93",""
"0","39","Stay","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-508.93",""
"0","40","Stay","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-558.9300000000001",""
"0","41","Stay","{'obs_sensor': 'Orv1rh3'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-608.9300000000001",""
"0","42","Forward","{'obs_sensor': 'Orv0rh4'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-658.9300000000001",""
"0","43","Right","{'obs_sensor': 'Orv0rh4'}","{'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv0rh4', 'depth_0': 'd0', 'orient_0': 'x1y-1z-1'}","-50.0","-708.9300000000001",""
"0","44","Right","{'obs_sensor': 'Orv0rh4'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv0rh4', 'depth_0': 'd0', 'orient_0': 'x0y-1z-1'}","-50.0","-758.9300000000001",""
"0","45","Down","{'obs_sensor': 'Orv0rh4'}","{'depth_0': 'd0', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv0rh4', 'depth_0': 'd0', 'orient_0': 'x-1y-1z-1'}","-50.0","-808.9300000000001",""
"0","46","Stay","{'obs_sensor': 'Orv0rh4'}","{'depth_0': 'd0', 'orient_0': 'x-1y-1z0'}","{'coord_0': 'Srv0rh4', 'depth_0': 'd0', 'orient_0': 'x-1y-1z0'}","-50.0","-858.9300000000001",""
"0","47","Forward","{'obs_sensor': 'Orv0rh3'}","{'depth_0': 'd0', 'orient_0': 'x-1y-1z0'}","{'coord_0': 'Srv0rh4', 'depth_0': 'd0', 'orient_0': 'x-1y-1z0'}","-50.0","-908.9300000000001",""
"0","48","Left","{'obs_sensor': 'Orv0rh3'}","{'depth_0': 'd0', 'orient_0': 'x-1y-1z0'}","{'coord_0': 'Srv0rh3', 'depth_0': 'd0', 'orient_0': 'x-1y-1z0'}","-50.0","-958.9300000000001",""
"0","49","Down","{'obs_sensor': 'Orv1rh4'}","{'depth_0': 'd0', 'orient_0': 'x0y-1z0'}","{'coord_0': 'Srv0rh3', 'depth_0': 'd0', 'orient_0': 'x0y-1z0'}","-50.0","-1008.9300000000001",""
"1","0","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","0.0","0.0",""
"1","1","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z-1'}","0.0","0.0",""
"1","2","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z-1'}","0.0","0.0",""
"1","3","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z-1'}","0.0","0.0",""
"1","4","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z0'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z0'}","0.0","0.0",""
"1","5","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z0'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z0'}","0.0","0.0",""
"1","6","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","0.0",""
"1","7","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","0.0",""
"1","8","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","0.0",""
"1","9","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","0.0",""
"1","10","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","0.0",""
"1","11","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","0.0",""
"1","12","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","0.0",""
"1","13","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","-1.44","-1.44",""
"1","14","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","-1.44","-2.88",""
"1","15","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","-2.88",""
"1","16","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","-2.88",""
"1","17","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","{'coord_0': 'Srv4rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","-1.73","-4.609999999999999",""
"1","18","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","0.0","-4.609999999999999",""
"1","19","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","0.0","-4.609999999999999",""
"1","20","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","-4.609999999999999",""
"1","21","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z1'}","0.0","-4.609999999999999",""
"1","22","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","-4.609999999999999",""
"1","23","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","-4.609999999999999",""
"1","24","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv5rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","-4.609999999999999",""
"1","25","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z1'}","0.0","-4.609999999999999",""
"1","26","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y0z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y0z0'}","0.0","-4.609999999999999",""
"1","27","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z0'}","0.0","-4.609999999999999",""
"1","28","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z-1'}","0.0","-4.609999999999999",""
"1","29","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z-1'}","0.0","-4.609999999999999",""
"1","30","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y1z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x-1y1z-1'}","0.0","-4.609999999999999",""
"1","31","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y1z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x0y1z-1'}","0.0","-4.609999999999999",""
"1","32","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y1z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x0y1z-1'}","0.0","-4.609999999999999",""
"1","33","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y1z-1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd3', 'orient_0': 'x1y1z-1'}","-1.73","-6.34",""
"1","34","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z-1'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd2', 'orient_0': 'x1y1z-1'}","0.0","-6.34",""
"1","35","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z0'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd2', 'orient_0': 'x1y1z0'}","0.0","-6.34",""
"1","36","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x0y1z0'}","{'coord_0': 'Srv6rh1', 'depth_0': 'd2', 'orient_0': 'x0y1z0'}","0.0","-6.34",""
"1","37","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x0y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x0y1z1'}","0.0","-6.34",""
"1","38","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z1'}","0.0","-6.34",""
"1","39","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z1'}","0.0","-6.34",""
"1","40","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y0z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y0z1'}","0.0","-6.34",""
"1","41","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y0z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y0z1'}","0.0","-6.34",""
"1","42","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y0z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y0z1'}","0.0","-6.34",""
"1","43","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z1'}","0.0","-6.34",""
"1","44","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z1'}","0.0","-6.34",""
"1","45","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z1'}","0.0","-6.34",""
"1","46","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z1'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z1'}","0.0","-6.34",""
"1","47","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z0'}","0.0","-6.34",""
"1","48","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z0'}","0.0","-6.34",""
"1","49","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y1z0'}","{'coord_0': 'Srv6rh0', 'depth_0': 'd2', 'orient_0': 'x1y1z0'}","-1.44","-7.779999999999999",""
"2","0","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv1rh1', 'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","-1.73","-1.73",""
"2","1","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv0rh0', 'depth_0': 'd2', 'orient_0': 'x-1y-1z-1'}","0.0","-1.73",""
"2","2","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv0rh0', 'depth_0': 'd2', 'orient_0': 'x0y-1z-1'}","0.0","-1.73",""
"2","3","Up","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv0rh0', 'depth_0': 'd2', 'orient_0': 'x1y-1z-1'}","0.0","-1.73",""
"2","4","Forward","{'obs_sensor': 'BLIND'}","{'depth_0': 'd2', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv0rh1', 'depth_0': 'd2', 'orient_0': 'x1y-1z-1'}","-1.73","-3.46",""
"2","5","Right","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x1y-1z-1'}","{'coord_0': 'Srv0rh2', 'depth_0': 'd1', 'orient_0': 'x1y-1z-1'}","0.0","-3.46",""
"2","6","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","{'coord_0': 'Srv0rh2', 'depth_0': 'd1', 'orient_0': 'x0y-1z-1'}","0.0","-3.46",""
"2","7","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd1', 'orient_0': 'x0y-1z0'}","{'coord_0': 'Srv0rh2', 'depth_0': 'd1', 'orient_0': 'x0y-1z0'}","0.0","-3.46",""
"2","8","Stay","{'obs_sensor': 'ROCK'}","{'depth_0': 'd1', 'orient_0': 'x1y-1z0'}","{'coord_0': 'Srv0rh2', 'depth_0': 'd1', 'orient_0': 'x1y-1z0'}","0.0","-3.46",""
"2","9","Stay","{'obs_sensor': 'TERMINAL'}","{'depth_0': 'd1', 'orient_0': 'x1y-1z0'}","{'coord_0': 'Srv1rh3', 'depth_0': 'd1', 'orient_0': 'x1y-1z0'}","-500.0","-503.46",""
"3","0","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z-1'}","0.0","0.0",""
"3","1","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z0'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z0'}","0.0","0.0",""
"3","2","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x-1y-1z1'}","0.0","0.0",""
"3","3","Left","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x0y-1z1'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x0y-1z1'}","0.0","0.0",""
"3","4","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z1'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x1y-1z1'}","0.0","0.0",""
"3","5","Down","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z1'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x1y-1z1'}","0.0","0.0",""
"3","6","Stay","{'obs_sensor': 'BLIND'}","{'depth_0': 'd3', 'orient_0': 'x1y-1z1'}","{'coord_0': 'Srv2rh0', 'depth_0': 'd3', 'orient_0': 'x1y-1z1'}","0.0","0.0",""
