"Episode","Step","Epsilon","Action","Observation","Fully Observed State","State","Step Reward","Total Reward","Q-values ['listen', 'open-left', 'open-right']"
"5","6","0.8953647655495937","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-293.0","[ -1.1574175 -28.295973  -58.677834 ]"
"5","7","0.8953647655495937","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-283.0","[ -1.9904512 -29.14733   -56.527065 ]"
"5","8","0.8953647655495937","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-273.0","[ -0.78298986 -30.592539   -55.978287  ]"
"5","9","0.8953647655495937","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-263.0","[ -0.85935307 -26.48268    -53.312984  ]"
"5","10","0.8953647655495937","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-264.0","[ -1.3285977 -30.569677  -48.410023 ]"
"5","11","0.8953647655495937","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-364.0","[ -2.0746465 -27.315746  -53.70255  ]"
"5","12","0.8953647655495937","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-354.0","[  0.49720153 -24.842115   -48.299484  ]"
"5","13","0.8953647655495937","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-355.0","[ -0.97594786 -28.967245   -41.757343  ]"
"5","14","0.8953647655495937","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-356.0","[ -2.577961 -28.413359 -40.02653 ]"
"6","0","0.8790225168308842","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","10.0","[ -0.4496713 -30.96833   -42.746624 ]"
"6","1","0.8790225168308842","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-90.0","[ -0.32010642 -30.3414     -47.720634  ]"
"6","2","0.8790225168308842","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-80.0","[ -0.67912966 -32.98534    -49.343273  ]"
"6","3","0.8790225168308842","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-180.0","[ -1.7479672 -33.673813  -46.90705  ]"
"6","4","0.8790225168308842","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-181.0","[ -2.055184 -34.86319  -44.328827]"
"6","5","0.8790225168308842","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-281.0","[ -1.8664036 -33.120476  -45.222115 ]"
"6","6","0.8790225168308842","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-381.0","[ -1.3489441 -31.795837  -39.037724 ]"
"6","7","0.8790225168308842","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-382.0","[ -1.5998313 -32.869183  -33.997456 ]"
"6","8","0.8790225168308842","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-383.0","[ -2.1957636 -33.255802  -41.275127 ]"
"6","9","0.8790225168308842","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-373.0","[ -1.2347153 -31.969824  -52.154613 ]"
"6","10","0.8790225168308842","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-363.0","[ -2.1928356 -33.761383  -54.29505  ]"
"6","11","0.8790225168308842","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-364.0","[ -4.295885 -38.8115   -42.71844 ]"
"6","12","0.8790225168308842","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-365.0","[ -2.2739644 -36.197113  -44.34688  ]"
"6","13","0.8790225168308842","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-1.0","-366.0","[  0.13090533 -27.874346   -37.68735   ]"
"6","14","0.8790225168308842","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-356.0","[  1.465077 -30.563013 -39.954693]"
"7","0","0.8629785477669701","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","10.0","[ -4.4873104 -41.77662   -56.49218  ]"
"7","1","0.8629785477669701","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","9.0","[ -4.760289 -39.718197 -52.19685 ]"
"7","2","0.8629785477669701","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-91.0","[ -5.026283 -43.60146  -61.705875]"
"7","3","0.8629785477669701","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-100.0","-191.0","[ -6.8449817 -39.70277   -81.330315 ]"
"7","4","0.8629785477669701","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","-181.0","[ -7.5310497 -45.729984  -72.34364  ]"
"7","5","0.8629785477669701","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-281.0","[ -9.486644 -55.608078 -69.491425]"
"7","6","0.8629785477669701","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-282.0","[ -8.176978 -47.420105 -62.952896]"
"7","7","0.8629785477669701","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-382.0","[ -6.4072127 -43.759617  -48.25109  ]"
"7","8","0.8629785477669701","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-372.0","[ -6.490621 -38.614025 -32.640377]"
"7","9","0.8629785477669701","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-362.0","[ -4.4148755 -41.72816   -24.296528 ]"
"7","10","0.8629785477669701","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-363.0","[ -5.1875486 -40.578243  -41.66946  ]"
"7","11","0.8629785477669701","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-353.0","[ -5.9933968 -34.91548   -45.730003 ]"
"7","12","0.8629785477669701","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-354.0","[ -6.7319794 -29.627838  -79.21617  ]"
"7","13","0.8629785477669701","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-454.0","[ -5.0069313 -35.02085   -51.178516 ]"
"7","14","0.8629785477669701","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-554.0","[ -1.1190233 -41.301937  -48.88925  ]"
"8","0","0.8472274141405962","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-1.0","[ -9.8966875 -44.442287  -53.454533 ]"
"8","1","0.8472274141405962","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-2.0","[-10.454399 -46.182755 -46.930756]"
"8","2","0.8472274141405962","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-102.0","[-10.226613 -43.94516  -52.95171 ]"
"8","3","0.8472274141405962","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","-92.0","[ -9.664941 -38.095837 -51.263668]"
"8","4","0.8472274141405962","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-82.0","[-10.73367  -41.463146 -47.83395 ]"
"8","5","0.8472274141405962","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-182.0","[-12.528787 -41.588173 -51.425285]"
"8","6","0.8472274141405962","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-183.0","[-13.097505 -37.940445 -46.31528 ]"
"8","7","0.8472274141405962","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-184.0","[-10.182416 -38.14191  -50.440178]"
"8","8","0.8472274141405962","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-284.0","[ -3.5671427 -30.732347  -73.04941  ]"
"8","9","0.8472274141405962","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-274.0","[-10.415676 -37.007915 -75.54894 ]"
"8","10","0.8472274141405962","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-264.0","[-13.023443 -58.44067  -67.43588 ]"
"8","11","0.8472274141405962","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-265.0","[ -8.208901 -46.942795 -76.11693 ]"
"8","12","0.8472274141405962","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-266.0","[ -3.4237015 -32.130352  -70.600494 ]"
"8","13","0.8472274141405962","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-267.0","[  4.0790534 -36.11644   -49.36561  ]"
"8","14","0.8472274141405962","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-1.0","-268.0","[  2.671762 -47.75831  -57.257652]"
"9","0","0.8317637711026707","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-1.0","[-12.299422 -73.52789  -71.45728 ]"
"9","1","0.8317637711026707","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-100.0","-101.0","[-11.569156 -71.83431  -72.48792 ]"
"9","2","0.8317637711026707","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-102.0","[ -9.022005 -66.92335  -76.054825]"
"9","3","0.8317637711026707","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-202.0","[ -8.845575 -70.49766  -74.40335 ]"
"9","4","0.8317637711026707","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-302.0","[-12.192886 -59.641716 -88.01198 ]"
"9","5","0.8317637711026707","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-303.0","[-12.250808 -67.90264  -62.725784]"
"9","6","0.8317637711026707","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","-293.0","[-14.547611 -73.63283  -79.67427 ]"
"9","7","0.8317637711026707","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-294.0","[ -8.199121 -65.15448  -69.701645]"
"9","8","0.8317637711026707","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","10.0","-284.0","[ -7.6752567 -59.64934   -48.115967 ]"
"9","9","0.8317637711026707","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","-285.0","[ -5.8917375 -59.07114   -52.38972  ]"
"9","10","0.8317637711026707","open-right","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-100.0","-385.0","[ -1.8465993 -43.03396   -48.283634 ]"
"9","11","0.8317637711026707","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","-100.0","-485.0","[ -7.509336 -40.330006 -64.44473 ]"
"9","12","0.8317637711026707","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-486.0","[ -9.256679 -49.291397 -46.026173]"
"9","13","0.8317637711026707","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-487.0","[-13.020498 -52.488407 -69.68346 ]"
"9","14","0.8317637711026707","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-left'}","-1.0","-488.0","[ -1.7031353 -40.85988   -51.628605 ]"
"10","0","0.8165823713585921","listen","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","-1.0","-1.0","[-20.367247 -41.23222  -73.02016 ]"
"10","1","0.8165823713585921","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","9.0","[-25.265709 -47.886337 -58.334637]"
"10","2","0.8165823713585921","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","19.0","[-26.307611 -60.663857 -85.23211 ]"
"10","3","0.8165823713585921","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","29.0","[-24.48203  -62.25083  -97.711205]"
"10","4","0.8165823713585921","open-left","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-right'}","10.0","39.0","[-24.09764  -61.368248 -87.36932 ]"
"10","5","0.8165823713585921","listen","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","-1.0","38.0","[-23.75999  -60.747665 -64.967735]"
"10","6","0.8165823713585921","open-left","{'obs_sensor': 'obs-right'}","{}","{'state_0': 'tiger-right'}","10.0","48.0","[-10.194719 -64.585045 -30.827106]"
"10","7","0.8165823713585921","open-right","{'obs_sensor': 'obs-left'}","{}","{'state_0': 'tiger-left'}","10.0","58.0","[-16.606276 -59.779705 -54.961216]"
