iteration,observation,observed state,action,step reward
9,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
9,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
10,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
10,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
10,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
10,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
10,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
11,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
11,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
11,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
11,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
12,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
12,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
12,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
12,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
13,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
13,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
13,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
13,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
14,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
14,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
14,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
14,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
15,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
15,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
15,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
15,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
16,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
16,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
16,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
16,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
17,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
17,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
17,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
17,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
17,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
18,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
18,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
18,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
18,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
18,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
19,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
19,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
19,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
19,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
20,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
20,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
20,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
20,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
20,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
21,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
21,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
21,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
21,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
22,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
22,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
22,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
22,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
23,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
23,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
23,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
23,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
24,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
24,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
24,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
24,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
25,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
25,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
25,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
25,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
26,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
26,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
26,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
26,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
27,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
27,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
27,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
27,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
27,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
28,{'obs_sensor': 'ogood'},{'rover_0': 's1'},0,0
28,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
28,{'obs_sensor': 'ogood'},{'rover_0': 's0'},3,10
28,{'obs_sensor': 'ogood'},{'rover_0': 's0'},1,0
28,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
29,{'obs_sensor': 'obad'},{'rover_0': 's1'},0,0
29,{'obs_sensor': 'ogood'},{'rover_0': 's0'},2,0
29,{'obs_sensor': 'obad'},{'rover_0': 's0'},1,0
29,{'obs_sensor': 'ogood'},{'rover_0': 's1'},1,10
